DATE,DGS1MO,
2/28/18,1.5,
3/1/18,1.5,
3/2/18,1.5,
3/5/18,1.53,
3/6/18,1.56,
3/7/18,1.57,
3/8/18,1.57,
3/9/18,1.57,
3/12/18,1.6,
3/13/18,1.64,
3/14/18,1.71,
3/15/18,1.7,
